1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,,,,,,,,
2014,Pittsburgh,ACC (Coastal),YES,Lost,YES,NO,6,7,0.462,26,12.012,4,4,50%,6.1,22.3,31.7,14.2,25.6,16.3,31.8,26.3,5.5,50,50,70.62,435.4,6.17,23.7,185.9,7.8,61,7,140.61,17,46.92,249.46,5.32,35,16,45,10,36,2,1,342,26.3,465,2091,4.5,26,35.77,160.85,372,199,53.5,2586,7,17,10,121.6,28.6,198.9,2091,2586,837,4677,5.59,359.8,41,909,22.17,0,3.2,69.9,23,169,7.35,0,1.8,13,36,716,19.89,1,2.8,55.1,14,66,4.71,0,1.1,5.1,21,16,76.2,1.6,1.2,2,0.15,4,10,14,12,7,19,-5,-0.38,83,695,6.4,53.5,0%,0%,6444122,6,189839,25,13,28226861,20196473,8030388,"Public, 4-year or above",,,,,,,,
2014,Virginia Tech,ACC (Coastal),YES,Won,YES,YES,7,6,0.538,27,14.526,3,5,38%,2.9,13.6,23.3,11.2,20.4,8.2,24.1,20.2,3.9,50,17,74.1,365.3,4.93,35.1,217.4,6.2,59.4,15,118.65,19,39,147.92,3.79,12,20,30,18,28,0,0,262,20.2,484,1882,3.89,15,37.23,144.77,384,183,47.7,2587,6.7,13,12,109.17,29.5,199,1882,2587,868,4469,5.15,343.8,36,702,19.5,0,2.8,54,45,315,7,1,3.5,24.2,46,937,20.37,0,3.5,72.1,29,89,3.07,0,2.2,6.8,28,20,71.4,2.2,1.5,3,0.23,10,12,22,11,15,26,-4,-0.31,98,770,7.5,59.2,66%,67%,6075954,7.82,234671,24,9,43371487,22394865,20976622,"Public, 4-year or above",,,,,,,,
2014,Miami (Florida),ACC (Coastal),YES,Lost,YES,NO,6,7,0.462,29.9,13.8138,3,5,38%,5.6,19.3,29.9,13.6,24.3,11.6,29.2,24.3,4.9,50,50,64.41,430.3,6.68,30.1,249.9,8.3,58.1,12,143.67,26,34.31,180.38,5.26,19,18,40,13,37,0,0,316,24.3,498,1782,3.58,21,38.31,137.08,397,229,57.7,2503,6.3,14,10,117.24,30.5,192.5,1782,2503,895,4285,4.79,329.6,35,704,20.11,0,2.7,54.2,22,145,6.59,1,1.7,11.2,51,1253,24.57,1,3.9,96.4,16,101,6.31,0,1.2,7.8,24,18,75,1.8,1.4,1,0.08,13,10,23,12,12,24,-1,-0.08,93,827,7.2,63.6,50%,56%,9447598,4.7,229259,17,13,33528906,27922382,5606524,"Private nonprofit, 4-year or above",,,,,,,,
2014,Virginia,ACC (Coastal),YES,No Appearance,NO,NO,5,7,0.417,30.1,12.5517,3,5,38%,1.8,17.4,25.8,11.0,24.1,9.3,25.8,24.1,1.7,50,50,73.58,374.2,5.08,36,236.4,6.6,57.4,16,118.91,18,37.58,137.75,3.67,13,22,36,13,34,0,0,289,24.1,431,1448,3.36,11,35.92,120.67,394,218,55.3,2790,7.1,19,15,123.11,32.8,232.5,1448,2790,825,4238,5.14,353.2,35,885,25.29,0,2.9,73.8,26,115,4.42,0,2.2,9.6,32,602,18.81,1,2.7,50.2,24,252,10.5,2,2,21,27,22,81.5,2.3,1.8,1,0.08,14,15,29,8,16,24,5,0.42,78,693,6.5,57.8,52%,38%,7654072,9,187613,26,13,28225141,20193977,8031164,"Public, 4-year or above",,,,,,,,
2014,Memphis,American,NO,Won,YES,YES,10,3,0.769,19.8,15.2262,7,1,88%,17.6,22.9,34.7,15.3,17.1,11.0,36.2,19.5,16.7,50,25,77.89,427.1,5.49,32.2,236.6,7.4,62.7,9,138.35,23,45.69,190.46,4.17,31,21,32,10,29,1,0,253,19.5,465,1580,3.4,16,35.77,121.54,494,264,53.4,2964,6,14,17,106.31,38,228,1580,2964,959,4544,4.74,349.5,38,866,22.79,0,2.9,66.6,42,371,8.83,0,3.2,28.5,33,598,18.12,0,2.5,46,13,36,2.77,0,1,2.8,32,21,65.6,2.5,1.6,2,0.15,14,17,31,11,9,20,11,0.85,81,770,6.2,59.2,46%,46%,5484185,7.5,175320,18,9,11937359,11937359,0,"Public, 4-year or above",,,,,,,,
2014,UCF,American,NO,Lost,YES,NO,9,4,0.692,21.1,14.6012,7,1,88%,10.3,19.6,28.2,11.8,17.9,12.7,28.1,19.2,8.9,50,50,72.46,363.1,5.01,32,235.3,7.4,56,15,128.82,23,40.46,127.77,3.16,19,21,29,16,27,0,0,249,19.2,428,1356,3.17,10,32.92,104.31,441,243,55.1,2525,5.7,17,18,107.76,33.9,194.2,1356,2525,869,3881,4.47,298.5,36,957,26.58,1,2.8,73.6,28,245,8.75,0,2.2,18.8,56,1182,21.11,0,4.3,90.9,20,133,6.65,1,1.5,10.2,29,21,72.4,2.2,1.6,2,0.15,10,18,28,14,15,29,-1,-0.08,76,711,5.8,54.7,59%,57%,3447515,6,162375,18,9,21265919,19635031,1630888,"Public, 4-year or above",,,,,,,,
2014,Cincinnati,American,NO,Lost,YES,NO,9,4,0.692,22.5,15.57,7,1,88%,8.7,22.5,35.4,13.2,26.8,19.0,34,27.2,6.8,50,50,72.72,460.2,6.33,37.8,303.6,8,59.9,14,145.23,35,34.92,156.54,4.48,18,16,42,20,40,0,1,354,27.2,501,2388,4.77,18,38.54,183.69,454,276,60.8,3320,7.3,22,8,134.69,34.9,255.4,2388,3320,955,5708,5.98,439.1,49,961,19.61,0,3.8,73.9,14,79,5.64,0,1.1,6.1,47,1069,22.74,0,3.6,82.2,13,64,4.92,0,1,4.9,20,16,80,1.5,1.2,0,0,16,8,24,8,14,22,2,0.15,59,542,4.5,41.7,64%,69%,3387288,6.5,138379,21,13,14564560,14564560,0,"Public, 4-year or above",,,,,,,,
2014,East Carolina,American,NO,Lost,YES,NO,8,5,0.615,22.7,13.9605,5,3,63%,11.5,17.4,37.2,15.9,25.7,13.7,35.8,25.8,10,50,18,82.31,533,6.48,49,371.9,7.6,63.1,11,139.48,31,33.31,161.08,4.84,28,14,41,17,37,1,0,336,25.8,437,1453,3.32,16,33.62,111.77,500,284,56.8,3322,6.6,20,14,120.21,38.5,255.5,1453,3322,937,4775,5.1,367.3,46,877,19.07,0,3.5,67.5,26,120,4.62,0,2,9.2,56,1258,22.46,0,4.3,96.8,22,165,7.5,1,1.7,12.7,24,14,58.3,1.8,1.1,2,0.15,5,14,19,12,11,23,-4,-0.31,109,1004,8.4,77.2,59%,59%,3825386,6,103188,20,13,9960084,9880494,79590,"Public, 4-year or above",,,,,,,,
2014,Houston,American,NO,Won,YES,YES,8,5,0.615,20.6,12.669,5,3,63%,7.7,19.9,27.7,11.2,20.0,12.9,29.8,20.6,9.2,50,50,72.68,414.1,5.7,34.6,230.2,6.7,60.4,15,122.84,18,38.08,183.85,4.83,28,16,33,11,33,0,2,268,20.6,503,1863,3.7,18,38.69,143.31,412,230,55.8,2601,6.3,15,19,111.66,31.7,200.1,1863,2601,915,4464,4.88,343.4,44,728,16.55,0,3.4,56,15,85,5.67,0,1.2,6.5,52,1117,21.48,0,4,85.9,22,99,4.5,0,1.7,7.6,23,16,69.6,1.8,1.2,1,0.08,11,19,30,7,15,22,8,0.62,84,771,6.5,59.3,0%,0%,3178060,4.5,166753,17.5,9,9379867,9379867,0,"Public, 4-year or above",,,,,,,,
2014,Temple,American,NO,No Appearance,NO,NO,6,6,0.5,21.3,10.65,4,4,50%,5.6,23.8,23.1,15.7,17.5,12.0,23.1,17.5,5.6,50,50,64.35,308.4,4.79,33.6,200.7,6,53.1,16,106,13,30.75,107.75,3.5,11,15,24,14,24,0,0,210,17.5,509,1922,3.78,12,42.42,160.17,367,216,58.9,2243,6.1,9,11,112.3,30.6,186.9,1922,2243,876,4165,4.75,347.1,33,652,19.76,0,2.8,54.3,18,221,12.28,3,1.5,18.4,48,913,19.02,0,4,76.1,22,65,2.95,0,1.8,5.4,24,15,62.5,2,1.3,5,0.42,19,11,30,11,16,27,3,0.25,78,653,6.5,54.4,33%,33%,5605806,7.5,118751,17.5,13,12891820,12891820,0,"Public, 4-year or above",,,,,,,,
2014,South Florida,American,NO,No Appearance,NO,NO,4,8,0.333,19,6.327,3,5,38%,-9.8,12.3,17.2,11.1,27.0,9.9,17.2,27,-9.8,50,50,61.63,304.7,4.94,30.3,196.8,6.5,49.2,11,107.59,11,31.33,107.92,3.44,11,13,41,12,40,0,1,324,27,487,2195,4.51,22,40.58,182.92,362,249,68.8,2638,7.3,16,6,141.28,30.2,219.8,2195,2638,849,4833,5.69,402.8,42,868,20.67,0,3.5,72.3,19,134,7.05,0,1.6,11.2,24,522,21.75,0,2,43.5,28,246,8.79,1,2.3,20.5,17,13,76.5,1.4,1.1,1,0.08,14,6,20,9,11,20,0,0,75,728,6.3,60.7,37%,25%,3345503,6.5,129043,20.25,9,13890357,12131758,1758599,"Public, 4-year or above",,,,,,,,
2014,Tulane,American,NO,No Appearance,NO,NO,3,9,0.25,22,5.5,2,6,25%,-12.4,16.6,16.0,11.0,28.4,13.1,16,28.4,-12.4,50,50,71.82,346.8,4.83,36.9,201.3,5.5,54.2,18,101.53,13,34.92,145.5,4.17,11,8,41,17,40,1,1,341,28.4,447,1895,4.24,16,37.25,157.92,377,220,58.4,2759,7.3,18,17,126.57,31.4,229.9,1895,2759,824,4654,5.65,387.8,38,637,16.76,0,3.2,53.1,9,41,4.56,0,0.8,3.4,21,538,25.62,0,1.8,44.8,23,168,7.3,0,1.9,14,16,8,50,1.3,0.7,0,0,11,17,28,7,18,25,3,0.25,90,841,7.5,70.1,32%,32%,8293391,4.5,132058,16.5,9,6585698,10499965,-3914267,"Private nonprofit, 4-year or above",,,,,,,,
2014,Tulsa,American,NO,No Appearance,NO,NO,2,10,0.167,18.4,3.0728,2,6,25%,-14.6,15.5,24.7,10.7,39.3,7.8,24.7,39.3,-14.6,50,50,79.85,412.5,5.17,40.1,264.7,6.6,54.7,18,118.45,23,39.75,147.83,3.72,11,12,62,12,59,1,1,471,39.3,467,2576,5.52,30,38.92,214.67,374,232,62,3265,8.7,29,8,156.67,31.2,272.1,2576,3265,841,5841,6.95,486.8,43,876,20.37,0,3.6,73,17,127,7.47,1,1.4,10.6,37,578,15.62,0,3.1,48.2,19,133,7,0,1.6,11.1,18,12,66.7,1.5,1,4,0.33,7,8,15,5,18,23,-8,-0.67,78,768,6.5,64,0%,0%,7119809,5.5,88931,22,13,10008201,10008201,0,"Private nonprofit, 4-year or above",,,,,,,,
2014,Connecticut,American,NO,No Appearance,NO,NO,2,10,0.167,15.9,2.6553,1,7,13%,-14.3,14.4,15.5,9.9,29.8,10.0,15.5,29.8,-14.3,50,50,61.3,276.3,4.5,28.3,169.3,6,54.4,12,109.2,12,33,106.92,3.24,8,9,45,13,43,1,2,358,29.8,482,2038,4.23,18,40.17,169.83,389,229,58.9,2505,6.4,21,8,126.67,32.4,208.8,2038,2505,871,4543,5.22,378.6,48,949,19.77,0,4,79.1,12,81,6.75,1,1,6.8,37,573,15.49,0,3.1,47.8,23,106,4.61,0,1.9,8.8,14,9,64.3,1.2,0.8,1,0.08,7,8,15,16,12,28,-13,-1.08,74,708,6.2,59,17%,17%,6129007,8.5,148352,25.5,13,10631609,14376783,-3745174,"Public, 4-year or above",,,,,,,,
2014,SMU,American,NO,No Appearance,NO,NO,1,11,0.083,16.2,1.3446,1,7,13%,-30.3,20.3,11.1,10.0,41.3,13.3,11.1,41.3,-30.2,50,50,65.97,269,4.08,35.8,168.7,4.7,53.5,14,91.12,6,30.17,100.33,3.33,9,9,63,20,58,0,0,496,41.3,541,2829,5.23,32,45.08,235.75,364,230,63.2,3164,8.7,27,6,157.38,30.3,263.7,2829,3164,905,5993,6.62,499.4,58,1090,18.79,0,4.8,90.8,14,60,4.29,0,1.2,5,27,586,21.7,1,2.3,48.8,33,297,9,0,2.8,24.8,17,9,52.9,1.4,0.8,3,0.25,10,6,16,16,14,30,-14,-1.17,74,632,6.2,52.7,0%,0%,4965699,6,176274,17,12,12937923,12937923,0,"Private nonprofit, 4-year or above",,,,,,,,
2014,TCU,Big 12,YES,Won,YES,YES,12,1,0.923,32.7,30.1821,8,1,89%,26.5,21.6,46.8,14.7,20.3,17.1,46.5,19,27.5,50,3,79.85,533,6.68,40.7,326.2,8,61.4,11,147.69,37,39.15,206.85,5.28,32,22,28,17,26,1,0,247,19,508,1414,2.78,9,39.08,108.77,445,216,48.5,3029,6.8,17,26,106.64,34.2,233,1414,3029,953,4443,4.66,341.8,34,735,21.62,1,2.6,56.5,35,345,9.86,1,2.7,26.5,57,1151,20.19,0,4.4,88.5,8,-9,-1.13,0,0.6,-0.7,27,22,81.5,2.1,1.7,2,0.15,14,26,40,11,11,22,18,1.38,82,752,6.3,57.8,75%,75%,8547046,6,208324,19,11,40451397,34654689,5796708,"Private nonprofit, 4-year or above",,,,,,,,
2014,Baylor,Big 12,YES,Lost,YES,NO,11,2,0.846,36.8,31.1328,8,1,89%,24.7,22.4,48.8,13.4,24.2,17.5,48.2,25.5,22.7,10,4,87.52,581.5,6.64,39.9,365.9,9.2,62.2,8,160.31,38,47.62,215.54,4.53,43,18,43,11,41,0,0,332,25.5,485,1530,3.15,17,37.31,117.69,456,249,54.6,3434,7.5,24,13,129.54,35.1,264.2,1530,3434,941,4964,5.28,381.8,40,801,20.03,0,3.1,61.6,20,93,4.65,0,1.5,7.2,81,1504,18.57,1,6.2,115.7,11,56,5.09,0,0.8,4.3,26,18,69.2,2,1.4,1,0.08,13,13,26,5,8,13,13,1,127,1149,9.8,88.4,59%,62%,7865327,5.34,290988,17.7,9,28317369,24574507,3742862,"Private nonprofit, 4-year or above",,,,,,,,
2014,Kansas State,Big 12,YES,Lost,YES,NO,9,4,0.692,35.9,24.8428,7,2,78%,14.1,21.0,35.8,14.8,21.8,11.7,35.8,23.2,12.6,20,9,68.52,421.6,6.15,31.9,287.4,9,65.3,8,155.35,23,36.62,134.23,3.67,30,23,39,11,34,0,0,301,23.2,440,1824,4.15,17,33.85,140.31,439,273,62.2,2977,6.8,20,15,127.35,33.8,229,1824,2977,879,4801,5.46,369.3,35,769,21.97,1,2.7,59.2,24,432,18,2,1.8,33.2,60,1078,17.97,0,4.6,82.9,11,122,11.09,1,0.8,9.4,29,23,79.3,2.2,1.8,3,0.23,6,15,21,5,8,13,8,0.62,57,511,4.4,39.3,67%,67%,3823139,4.5,224695,17.5,9,32729335,16639645,16089690,"Public, 4-year or above",,,,,,,,
2014,Oklahoma,Big 12,YES,Lost,YES,NO,8,5,0.615,32.8,20.172,5,4,56%,14.2,23.6,38.9,11.9,24.8,13.6,36.4,25.9,10.5,4,4,72.55,464.7,6.41,29.7,203.5,6.9,54.4,17,117.7,17,42.85,261.15,6.1,40,13,43,14,37,0,0,337,25.9,458,1383,3.02,15,35.23,106.38,510,287,56.3,3591,7,23,12,125.59,39.2,276.2,1383,3591,968,4974,5.14,382.6,37,840,22.7,2,2.8,64.6,15,87,5.8,0,1.2,6.7,26,554,21.31,0,2,42.6,17,181,10.65,1,1.3,13.9,18,13,72.2,1.4,1,5,0.38,7,12,19,7,17,24,-5,-0.38,70,648,5.4,49.8,79%,79%,6115714,7.5,211931,25.5,13,71370051,28107666,43262385,"Public, 4-year or above",,,,,,,,
2014,West Virginia,Big 12,YES,Lost,YES,NO,7,6,0.538,33.3,17.9154,5,4,56%,7.0,19.6,33.2,10.2,26.2,12.6,33.5,27.6,5.9,50,20,84.41,499.8,5.92,41.1,317,7.7,63.7,10,140.81,26,43.31,182.77,4.22,18,30,42,21,42,0,1,359,27.6,502,2186,4.35,20,38.62,168.15,455,241,53,3006,6.6,18,12,116.25,35,231.2,2186,3006,957,5192,5.43,399.4,46,1101,23.93,2,3.5,84.7,25,78,3.12,0,1.9,6,49,1094,22.33,1,3.8,84.2,17,232,13.65,3,1.3,17.8,39,30,76.9,3,2.3,2,0.15,2,12,14,19,10,29,-15,-1.15,85,757,6.5,58.2,55%,55%,5325235,5.5,246953,20,12,18606609,16981457,1625152,"Public, 4-year or above",,,,,,,,
